Institution,Total_2016 / 2017,Men_2016 / 2017,Women_2016 / 2017,Canadian_2016 / 2017,International_2016 / 2017,Total_2017 / 2018,Men_2017 / 2018,Women_2017 / 2018,Canadian_2017 / 2018,International_2017 / 2018,Total_2018 / 2019,Men_2018 / 2019,Women_2018 / 2019,Canadian_2018 / 2019,International_2018 / 2019,Total_2019 / 2020,Men_2019 / 2020,Women_2019 / 2020,Canadian_2019 / 2020,International_2019 / 2020,Total_2020 / 2021,Men_2020 / 2021,Women_2020 / 2021,Canadian_2020 / 2021,International_2020 / 2021,Total_2021 / 2022,Men_2021 / 2022,Women_2021 / 2022,Canadian_2021 / 2022,International_2021 / 2022
"Acadia University, Nova Scotia",4467.0,1824.0,2643.0,3951.0,516.0,4485.0,1875.0,2610.0,3966.0,519.0,4407.0,1833.0,2574.0,3843.0,564.0,4314.0,1770.0,2544.0,3765.0,549.0,4287.0,1695.0,2592.0,3789.0,498.0,4326,1716,2610,3879,447
"Algoma University, Ontario",1302.0,627.0,675.0,981.0,321.0,1224.0,564.0,660.0,945.0,279.0,1230.0,534.0,696.0,945.0,285.0,1914.0,846.0,1068.0,933.0,981.0,1722.0,792.0,930.0,975.0,747.0,2766,1311,1455,1047,1719
"Ambrose University, Alberta",612.0,231.0,381.0,588.0,24.0,606.0,228.0,378.0,576.0,30.0,594.0,225.0,369.0,567.0,27.0,573.0,225.0,348.0,564.0,9.0,600.0,207.0,393.0,567.0,33.0,546,183,363,531,15
"Athabasca University, Alberta",17346.0,5574.0,11772.0,16836.0,510.0,16941.0,5574.0,11367.0,16371.0,570.0,18561.0,6108.0,12453.0,17979.0,582.0,18930.0,6168.0,12762.0,18279.0,651.0,20535.0,6648.0,13887.0,19908.0,627.0,17127,5166,11961,16668,459
"Bishop's University, Quebec",2805.0,1203.0,1602.0,2367.0,438.0,2871.0,1266.0,1605.0,2316.0,555.0,2874.0,1284.0,1590.0,2259.0,615.0,2931.0,1302.0,1629.0,2187.0,744.0,2880.0,1284.0,1596.0,2361.0,519.0,2841,1281,1560,2271,570
"Brock University, Ontario",18810.0,8037.0,10773.0,16911.0,1899.0,18477.0,7875.0,10602.0,16458.0,2019.0,18720.0,8016.0,10704.0,16491.0,2229.0,19404.0,8298.0,11106.0,16824.0,2580.0,19266.0,8151.0,11115.0,16782.0,2484.0,19188,8184,11004,16662,2526
"Carleton University, Ontario",30012.0,15666.0,14346.0,25917.0,4095.0,30888.0,15984.0,14904.0,26538.0,4350.0,31260.0,15936.0,15324.0,26784.0,4476.0,31563.0,16029.0,15534.0,26880.0,4683.0,32184.0,16215.0,15969.0,27579.0,4605.0,31443,15774,15669,26973,4470
"Concordia University of Edmonton, Alberta",1878.0,717.0,1161.0,1707.0,171.0,2001.0,720.0,1281.0,1848.0,153.0,2235.0,795.0,1440.0,1980.0,255.0,2679.0,963.0,1716.0,2226.0,453.0,2997.0,1092.0,1905.0,2454.0,543.0,2817,1014,1803,2376,441
"Concordia University, Quebec",37398.0,18705.0,18693.0,31521.0,5877.0,38619.0,19152.0,19467.0,31830.0,6789.0,39162.0,19395.0,19767.0,31611.0,7551.0,38979.0,19320.0,19659.0,30690.0,8289.0,39450.0,19464.0,19986.0,31605.0,7845.0,38763,19221,19542,30984,7779
"Dalhousie University, Nova Scotia",18021.0,8037.0,9984.0,14628.0,3393.0,18099.0,8124.0,9975.0,14409.0,3690.0,18258.0,8256.0,10002.0,14265.0,3993.0,18642.0,8409.0,10233.0,14196.0,4446.0,19437.0,8652.0,10785.0,14934.0,4503.0,19866,8631,11235,15411,4455
